,Serial Number:20440475 --,,,,,,
20440475,29/04/19 01:56,-0.22,99.98,-0.23, , , 
20440475,29/04/19 02:56,-0.3,99.98,-0.31, , , 
20440475,29/04/19 03:56,-0.22,99.98,-0.23, , , 
20440475,29/04/19 04:56,-0.3,99.98,-0.31, , , 
20440475,29/04/19 05:56,-0.17,99.98,-0.18, , , 
20440475,29/04/19 06:56,-0.3,99.98,-0.31, , , 
20440475,29/04/19 07:56,-0.3,99.98,-0.31, , , 
20440475,29/04/19 08:56,-0.35,99.98,-0.35, , , 
20440475,29/04/19 09:56,-0.26,99.98,-0.27, , , 
20440475,29/04/19 10:56,-0.35,99.98,-0.35, , , 
20440475,29/04/19 11:56,-0.3,99.98,-0.31, , , 
20440475,29/04/19 12:56,-0.22,99.98,-0.23, , , 
20440475,29/04/19 13:56,-0.26,99.98,-0.27, , , 
20440475,29/04/19 14:56,-0.26,99.98,-0.27, , , 
20440475,29/04/19 15:56,-0.26,99.98,-0.27, , , 
20440475,29/04/19 16:56,-0.26,99.98,-0.27, , , 
20440475,29/04/19 17:56,-0.22,99.98,-0.23, , , 
20440475,29/04/19 18:56,-0.26,99.98,-0.27, , , 
20440475,29/04/19 19:56,-0.22,99.98,-0.23, , , 
20440475,29/04/19 20:56,-0.22,99.98,-0.23, , , 
20440475,29/04/19 21:56,-0.22,99.98,-0.23, , , 
20440475,29/04/19 22:56,-0.22,99.98,-0.23, , , 
20440475,29/04/19 23:56,-0.22,99.98,-0.23, , , 
20440475,30/04/19 00:56,-0.26,99.98,-0.27, , , 
20440475,30/04/19 01:56,-0.3,99.98,-0.31, , , 
20440475,30/04/19 02:56,-0.26,99.98,-0.27, , , 
20440475,30/04/19 03:56,-0.26,99.98,-0.27, , , 
20440475,30/04/19 04:56,-0.3,99.98,-0.31, , , 
20440475,30/04/19 05:56,-0.26,99.98,-0.27, , , 
20440475,30/04/19 06:56,-0.26,99.98,-0.27, , , 
20440475,30/04/19 07:56,-0.26,99.98,-0.27, , , 
20440475,30/04/19 08:56,-0.22,99.98,-0.23, , , 
20440475,30/04/19 09:56,-0.22,99.98,-0.23, , , 
20440475,30/04/19 10:56,-0.26,99.98,-0.27, , , 
20440475,30/04/19 11:56,-0.22,99.98,-0.23, , , 
20440475,30/04/19 12:56,-0.26,99.98,-0.27, , , 
20440475,30/04/19 13:56,-0.22,99.98,-0.23, , , 
20440475,30/04/19 14:56,-0.22,99.98,-0.23, , , 
20440475,30/04/19 15:56,-0.17,99.98,-0.18, , , 
20440475,30/04/19 16:56,-0.17,99.98,-0.18, , , 
20440475,30/04/19 17:56,-0.17,99.98,-0.18, , , 
20440475,30/04/19 18:56,-0.17,99.98,-0.18, , , 
20440475,30/04/19 19:56,-0.17,99.98,-0.18, , , 
20440475,30/04/19 20:56,-0.17,99.98,-0.18, , , 
20440475,30/04/19 21:56,-0.22,99.98,-0.23, , , 
20440475,30/04/19 22:56,-0.22,99.98,-0.23, , , 
20440475,30/04/19 23:56,-0.22,99.98,-0.23, , , 
20440475,01/05/19 00:56,-0.17,99.98,-0.18, , , 
20440475,01/05/19 01:56,-0.17,99.98,-0.18, , , 
20440475,01/05/19 02:56,-0.17,99.98,-0.18, , , 
20440475,01/05/19 03:56,-0.22,99.98,-0.23, , , 
20440475,01/05/19 04:56,-0.22,99.98,-0.23, , , 
20440475,01/05/19 05:56,-0.17,99.98,-0.18, , , 
20440475,01/05/19 06:56,-0.26,99.98,-0.27, , , 
20440475,01/05/19 07:56,-0.22,99.98,-0.23, , , 
20440475,01/05/19 08:56,-0.26,99.98,-0.27, , , 
20440475,01/05/19 09:56,-0.17,99.98,-0.18, , , 
20440475,01/05/19 10:56,-0.22,99.98,-0.23, , , 
20440475,01/05/19 11:56,-0.17,99.98,-0.18, , , 
20440475,01/05/19 12:56,-0.17,99.98,-0.18, , , 
20440475,01/05/19 13:56,-0.17,99.98,-0.18, , , 
20440475,01/05/19 14:56,-0.17,99.98,-0.18, , , 
20440475,01/05/19 15:56,-0.17,99.98,-0.18, , , 
20440475,01/05/19 16:56,-0.13,99.98,-0.14, , , 
20440475,01/05/19 17:56,-0.13,99.98,-0.14, , , 
20440475,01/05/19 18:56,-0.09,99.98,-0.1, , , 
20440475,01/05/19 19:56,-0.09,99.98,-0.1, , , 
20440475,01/05/19 20:56,-0.09,99.98,-0.1, , , 
20440475,01/05/19 21:56,-0.13,99.98,-0.14, , , 
20440475,01/05/19 22:56,-0.17,99.98,-0.18, , , 
20440475,01/05/19 23:56,-0.17,99.98,-0.18, , , 
20440475,02/05/19 00:56,-0.17,99.98,-0.18, , , 
20440475,02/05/19 01:56,-0.13,99.98,-0.14, , , 
20440475,02/05/19 02:56,-0.17,99.98,-0.18, , , 
20440475,02/05/19 03:56,-0.09,99.98,-0.1, , , 
20440475,02/05/19 04:56,-0.13,99.98,-0.14, , , 
20440475,02/05/19 05:56,-0.13,99.98,-0.14, , , 
20440475,02/05/19 06:56,-0.09,99.98,-0.1, , , 
20440475,02/05/19 07:56,-0.13,99.98,-0.14, , , 
20440475,02/05/19 08:56,-0.17,99.98,-0.18, , , 
20440475,02/05/19 09:56,-0.17,99.98,-0.18, , , 
20440475,02/05/19 10:56,-0.13,99.98,-0.14, , , 
20440475,02/05/19 11:56,-0.13,99.98,-0.14, , , 
20440475,02/05/19 12:56,-0.17,99.98,-0.18, , , 
20440475,02/05/19 13:56,-0.17,99.98,-0.18, , , 
20440475,02/05/19 14:56,-0.13,99.98,-0.14, , , 
20440475,02/05/19 15:56,-0.17,99.98,-0.18, , , 
20440475,02/05/19 16:56,-0.13,99.98,-0.14, , , 
20440475,02/05/19 17:56,-0.13,99.98,-0.14, , , 
20440475,02/05/19 18:56,-0.17,99.98,-0.18, , , 
20440475,02/05/19 19:56,-0.13,99.98,-0.14, , , 
20440475,02/05/19 20:56,-0.09,99.98,-0.1, , , 
20440475,02/05/19 21:56,-0.13,99.98,-0.14, , , 
20440475,02/05/19 22:56,-0.17,99.98,-0.18, , , 
20440475,02/05/19 23:56,-0.17,99.98,-0.18, , , 
20440475,03/05/19 00:56,-0.17,99.98,-0.18, , , 
20440475,03/05/19 01:56,-0.17,99.98,-0.18, , , 
20440475,03/05/19 02:56,-0.17,99.98,-0.18, , , 
20440475,03/05/19 03:56,-0.17,99.98,-0.18, , , 
20440475,03/05/19 04:56,-0.17,99.98,-0.18, , , 
20440475,03/05/19 05:56,-0.13,99.98,-0.14, , , 
20440475,03/05/19 06:56,-0.13,99.98,-0.14, , , 
20440475,03/05/19 07:56,-0.17,99.98,-0.18, , , 
20440475,03/05/19 08:56,-0.13,99.98,-0.14, , , 
20440475,03/05/19 09:56,-0.13,99.98,-0.14, , , 
20440475,03/05/19 10:56,-0.17,99.98,-0.18, , , 
20440475,03/05/19 11:56,-0.17,99.98,-0.18, , , 
20440475,03/05/19 12:56,-0.13,99.98,-0.14, , , 
20440475,03/05/19 13:56,-0.13,99.98,-0.14, , , 
20440475,03/05/19 14:56,-0.17,99.98,-0.18, , , 
20440475,03/05/19 15:56,-0.17,99.98,-0.18, , , 
20440475,03/05/19 16:56,-0.13,99.98,-0.14, , , 
20440475,03/05/19 17:56,-0.17,99.98,-0.18, , , 
20440475,03/05/19 18:56,-0.13,99.98,-0.14, , , 
20440475,03/05/19 19:56,-0.13,99.98,-0.14, , , 
20440475,03/05/19 20:56,-0.13,99.98,-0.14, , , 
20440475,03/05/19 21:56,-0.17,99.98,-0.18, , , 
20440475,03/05/19 22:56,-0.13,99.98,-0.14, , , 
20440475,03/05/19 23:56,-0.13,99.98,-0.14, , , 
20440475,04/05/19 00:56,-0.13,99.98,-0.14, , , 
20440475,04/05/19 01:56,-0.13,99.98,-0.14, , , 
20440475,04/05/19 02:56,-0.13,99.98,-0.14, , , 
20440475,04/05/19 03:56,-0.13,99.98,-0.14, , , 
20440475,04/05/19 04:56,-0.13,99.98,-0.14, , , 
20440475,04/05/19 05:56,-0.13,99.98,-0.14, , , 
20440475,04/05/19 06:56,-0.13,99.98,-0.14, , , 
20440475,04/05/19 07:56,-0.13,99.98,-0.14, , , 
20440475,04/05/19 08:56,-0.13,99.98,-0.14, , , 
20440475,04/05/19 09:56,-0.13,99.98,-0.14, , , 
20440475,04/05/19 10:56,-0.13,99.98,-0.14, , , 
20440475,04/05/19 11:56,-0.13,99.98,-0.14, , , 
20440475,04/05/19 12:56,-0.13,99.98,-0.14, , , 
20440475,04/05/19 13:56,-0.09,99.98,-0.1, , , 
20440475,04/05/19 14:56,-0.09,99.98,-0.1, , , 
20440475,04/05/19 15:56,-0.05,99.98,-0.05, , , 
20440475,04/05/19 16:56,-0.17,99.98,-0.18, , , 
20440475,04/05/19 17:56,-0.17,99.98,-0.18, , , 
20440475,04/05/19 18:56,-0.17,99.98,-0.18, , , 
20440475,04/05/19 19:56,-0.13,99.98,-0.14, , , 
20440475,04/05/19 20:56,-0.13,99.98,-0.14, , , 
20440475,04/05/19 21:56,-0.09,99.98,-0.1, , , 
20440475,04/05/19 22:56,-0.13,99.98,-0.14, , , 
20440475,04/05/19 23:56,-0.09,99.98,-0.1, , , 
20440475,05/05/19 00:56,-0.09,99.98,-0.1, , , 
20440475,05/05/19 01:56,-0.13,99.98,-0.14, , , 
20440475,05/05/19 02:56,-0.13,99.98,-0.14, , , 
20440475,05/05/19 03:56,-0.17,99.98,-0.18, , , 
20440475,05/05/19 04:56,-0.17,99.98,-0.18, , , 
20440475,05/05/19 05:56,-0.22,99.98,-0.23, , , 
20440475,05/05/19 06:56,-0.17,99.98,-0.18, , , 
20440475,05/05/19 07:56,-0.22,99.98,-0.23, , , 
20440475,05/05/19 08:56,-0.22,99.98,-0.23, , , 
20440475,05/05/19 09:56,-0.3,99.98,-0.31, , , 
20440475,05/05/19 10:56,-0.26,99.98,-0.27, , , 
20440475,05/05/19 11:56,-0.3,99.98,-0.31, , , 
20440475,05/05/19 12:56,-0.26,99.98,-0.27, , , 
20440475,05/05/19 13:56,-0.3,99.98,-0.31, , , 
20440475,05/05/19 14:56,-0.3,99.98,-0.31, , , 
20440475,05/05/19 15:56,-0.3,99.98,-0.31, , , 
20440475,05/05/19 16:56,-0.35,99.98,-0.35, , , 
20440475,05/05/19 17:56,-0.26,99.98,-0.27, , , 
20440475,05/05/19 18:56,-0.3,99.98,-0.31, , , 
20440475,05/05/19 19:56,-0.3,99.98,-0.31, , , 
20440475,05/05/19 20:56,-0.35,99.98,-0.35, , , 
20440475,05/05/19 21:56,-0.39,99.98,-0.4, , , 
20440475,05/05/19 22:56,-0.3,99.98,-0.31, , , 
20440475,05/05/19 23:56,-0.26,99.98,-0.27, , , 
20440475,06/05/19 00:56,-0.47,99.98,-0.48, , , 
20440475,06/05/19 01:56,-0.6,99.98,-0.61, , , 
20440475,06/05/19 02:56,-0.43,99.98,-0.44, , , 
20440475,06/05/19 03:56,-0.43,99.98,-0.44, , , 
20440475,06/05/19 04:56,-0.47,99.98,-0.48, , , 
20440475,06/05/19 05:56,-0.6,99.98,-0.61, , , 
20440475,06/05/19 06:56,-0.6,99.98,-0.61, , , 
20440475,06/05/19 07:56,-0.65,99.98,-0.65, , , 
20440475,06/05/19 08:56,-0.69,99.98,-0.7, , , 
20440475,06/05/19 09:56,-0.69,99.98,-0.7, , , 
20440475,06/05/19 10:56,-0.69,99.98,-0.7, , , 
20440475,06/05/19 11:56,-0.65,99.98,-0.65, , , 
20440475,06/05/19 12:56,-0.52,99.98,-0.53, , , 
20440475,06/05/19 13:56,-0.47,99.98,-0.48, , , 
20440475,06/05/19 14:56,-0.47,99.98,-0.48, , , 
20440475,06/05/19 15:56,-0.43,99.98,-0.44, , , 
20440475,06/05/19 16:56,-0.47,99.98,-0.48, , , 
20440475,06/05/19 17:56,-0.43,99.98,-0.44, , , 
20440475,06/05/19 18:56,-0.47,99.98,-0.48, , , 
20440475,06/05/19 19:56,-0.52,99.98,-0.53, , , 
20440475,06/05/19 20:56,-0.52,99.98,-0.53, , , 
20440475,06/05/19 21:56,-0.56,99.98,-0.57, , , 
20440475,06/05/19 22:56,-0.65,99.98,-0.65, , , 
20440475,06/05/19 23:56,-0.77,99.98,-0.78, , , 
20440475,07/05/19 00:56,-0.82,99.98,-0.83, , , 
20440475,07/05/19 01:56,-0.82,99.98,-0.83, , , 
20440475,07/05/19 02:56,-0.86,99.98,-0.87, , , 
20440475,07/05/19 03:56,-0.86,99.98,-0.87, , , 
20440475,07/05/19 04:56,-0.9,99.98,-0.91, , , 
20440475,07/05/19 05:56,-0.95,99.98,-0.96, , , 
20440475,07/05/19 06:56,-1.03,99.98,-1.04, , , 
20440475,07/05/19 07:56,-0.86,99.98,-0.87, , , 
20440475,07/05/19 08:56,-0.86,99.98,-0.87, , , 
20440475,07/05/19 09:56,-0.82,99.98,-0.83, , , 
20440475,07/05/19 10:56,-0.77,99.98,-0.78, , , 
20440475,07/05/19 11:56,-0.65,99.98,-0.65, , , 
20440475,07/05/19 12:56,-0.6,99.98,-0.61, , , 
20440475,07/05/19 13:56,-0.52,99.98,-0.53, , , 
20440475,07/05/19 14:56,-0.56,99.98,-0.57, , , 
20440475,07/05/19 15:56,-0.52,99.98,-0.53, , , 
20440475,07/05/19 16:56,-0.52,99.98,-0.53, , , 
20440475,07/05/19 17:56,-0.47,99.98,-0.48, , , 
20440475,07/05/19 18:56,-0.43,99.98,-0.44, , , 
20440475,07/05/19 19:56,-0.47,99.98,-0.48, , , 
20440475,07/05/19 20:56,-0.39,99.98,-0.4, , , 
20440475,07/05/19 21:56,-0.43,99.98,-0.44, , , 
20440475,07/05/19 22:56,-0.43,99.98,-0.44, , , 
20440475,07/05/19 23:56,-0.52,99.98,-0.53, , , 
20440475,08/05/19 00:56,-0.52,99.98,-0.53, , , 
20440475,08/05/19 01:56,-0.52,99.98,-0.53, , , 
20440475,08/05/19 02:56,-0.47,99.98,-0.48, , , 
20440475,08/05/19 03:56,-0.47,99.98,-0.48, , , 
20440475,08/05/19 04:56,-0.52,99.98,-0.53, , , 
20440475,08/05/19 05:56,-0.43,99.98,-0.44, , , 
20440475,08/05/19 06:56,-0.43,99.98,-0.44, , , 
20440475,08/05/19 07:56,-0.39,99.98,-0.4, , , 
20440475,08/05/19 08:56,-0.35,99.98,-0.35, , , 
20440475,08/05/19 09:56,-0.43,99.98,-0.44, , , 
20440475,08/05/19 10:56,-0.35,99.98,-0.35, , , 
20440475,08/05/19 11:56,-0.39,99.98,-0.4, , , 
20440475,08/05/19 12:56,-0.35,99.98,-0.35, , , 
20440475,08/05/19 13:56,-0.35,99.98,-0.35, , , 
20440475,08/05/19 14:56,-0.39,99.98,-0.4, , , 
20440475,08/05/19 15:56,-0.35,99.98,-0.35, , , 
20440475,08/05/19 16:56,-0.35,99.98,-0.35, , , 
20440475,08/05/19 17:56,-0.35,99.98,-0.35, , , 
20440475,08/05/19 18:56,-0.35,99.98,-0.35, , , 
20440475,08/05/19 19:56,-0.35,99.98,-0.35, , , 
20440475,08/05/19 20:56,-0.35,99.98,-0.35, , , 
20440475,08/05/19 21:56,-0.35,99.98,-0.35, , , 
20440475,08/05/19 22:56,-0.3,99.98,-0.31, , , 
20440475,08/05/19 23:56,-0.35,99.98,-0.35, , , 
20440475,09/05/19 00:56,-0.3,99.98,-0.31, , , 
20440475,09/05/19 01:56,-0.3,99.98,-0.31, , , 
20440475,09/05/19 02:56,-0.35,99.98,-0.35, , , 
20440475,09/05/19 03:56,-0.3,99.98,-0.31, , , 
20440475,09/05/19 04:56,-0.3,99.98,-0.31, , , 
20440475,09/05/19 05:56,-0.3,99.98,-0.31, , , 
20440475,09/05/19 06:56,-0.35,99.98,-0.35, , , 
20440475,09/05/19 07:56,-0.3,99.98,-0.31, , , 
20440475,09/05/19 08:56,-0.3,99.98,-0.31, , , 
20440475,09/05/19 09:56,-0.3,99.98,-0.31, , , 
20440475,09/05/19 10:56,-0.3,99.98,-0.31, , , 
20440475,09/05/19 11:56,-0.3,99.98,-0.31, , , 
20440475,09/05/19 12:56,-0.26,99.98,-0.27, , , 
20440475,09/05/19 13:56,-0.3,99.98,-0.31, , , 
20440475,09/05/19 14:56,-0.26,99.98,-0.27, , , 
20440475,09/05/19 15:56,-0.22,99.98,-0.23, , , 
20440475,09/05/19 16:56,-0.26,99.98,-0.27, , , 
20440475,09/05/19 17:56,-0.26,99.98,-0.27, , , 
20440475,09/05/19 18:56,-0.22,99.98,-0.23, , , 
20440475,09/05/19 19:56,-0.26,99.98,-0.27, , , 
20440475,09/05/19 20:56,-0.26,99.98,-0.27, , , 
20440475,09/05/19 21:56,-0.22,99.98,-0.23, , , 
20440475,09/05/19 22:56,-0.26,99.98,-0.27, , , 
20440475,09/05/19 23:56,-0.22,99.98,-0.23, , , 
20440475,10/05/19 00:56,-0.26,99.98,-0.27, , , 
20440475,10/05/19 01:56,-0.22,99.98,-0.23, , , 
20440475,10/05/19 02:56,-0.22,99.98,-0.23, , , 
20440475,10/05/19 03:56,-0.22,99.98,-0.23, , , 
20440475,10/05/19 04:56,-0.26,99.98,-0.27, , , 
20440475,10/05/19 05:56,-0.26,99.98,-0.27, , , 
20440475,10/05/19 06:56,-0.26,99.98,-0.27, , , 
20440475,10/05/19 07:56,-0.17,99.98,-0.18, , , 
20440475,10/05/19 08:56,-0.26,99.98,-0.27, , , 
20440475,10/05/19 09:56,-0.22,99.98,-0.23, , , 
20440475,10/05/19 10:56,-0.13,99.98,-0.14, , , 
20440475,10/05/19 11:56,-0.17,99.98,-0.18, , , 
20440475,10/05/19 12:56,-0.17,99.98,-0.18, , , 
20440475,10/05/19 13:56,-0.17,99.98,-0.18, , , 
20440475,10/05/19 14:56,-0.22,99.98,-0.23, , , 
20440475,10/05/19 15:56,-0.17,99.98,-0.18, , , 
20440475,10/05/19 16:56,-0.22,99.98,-0.23, , , 
20440475,10/05/19 17:56,-0.13,99.98,-0.14, , , 
20440475,10/05/19 18:56,-0.22,99.98,-0.23, , , 
20440475,10/05/19 19:56,-0.17,99.98,-0.18, , , 
20440475,10/05/19 20:56,-0.17,99.98,-0.18, , , 
20440475,10/05/19 21:56,-0.13,99.98,-0.14, , , 
20440475,10/05/19 22:56,-0.13,99.98,-0.14, , , 
20440475,10/05/19 23:56,-0.13,99.98,-0.14, , , 
20440475,11/05/19 00:56,-0.13,99.98,-0.14, , , 
20440475,11/05/19 01:56,-0.13,99.98,-0.14, , , 
20440475,11/05/19 02:56,-0.13,99.98,-0.14, , , 
20440475,11/05/19 03:56,-0.13,99.98,-0.14, , , 
20440475,11/05/19 04:56,-0.13,99.98,-0.14, , , 
20440475,11/05/19 05:56,-0.17,99.98,-0.18, , , 
20440475,11/05/19 06:56,-0.13,99.98,-0.14, , , 
20440475,11/05/19 07:56,-0.13,99.98,-0.14, , , 
20440475,11/05/19 08:56,-0.09,99.98,-0.1, , , 
20440475,11/05/19 09:56,-0.13,99.98,-0.14, , , 
20440475,11/05/19 10:56,-0.13,99.98,-0.14, , , 
20440475,11/05/19 11:56,-0.17,99.98,-0.18, , , 
20440475,11/05/19 12:56,-0.13,99.98,-0.14, , , 
20440475,11/05/19 13:56,-0.17,99.98,-0.18, , , 
20440475,11/05/19 14:56,-0.17,99.98,-0.18, , , 
20440475,11/05/19 15:56,-0.13,99.98,-0.14, , , 
20440475,11/05/19 16:56,-0.09,99.98,-0.1, , , 
20440475,11/05/19 17:56,-0.13,99.98,-0.14, , , 
20440475,11/05/19 18:56,-0.09,99.98,-0.1, , , 
20440475,11/05/19 19:56,-0.09,99.98,-0.1, , , 
20440475,11/05/19 20:56,-0.13,99.98,-0.14, , , 
20440475,11/05/19 21:56,-0.13,99.98,-0.14, , , 
20440475,11/05/19 22:56,-0.09,99.98,-0.1, , , 
20440475,11/05/19 23:56,-0.13,99.98,-0.14, , , 
20440475,12/05/19 00:56,-0.13,99.98,-0.14, , , 
20440475,12/05/19 01:56,-0.17,99.98,-0.18, , , 
20440475,12/05/19 02:56,-0.13,99.98,-0.14, , , 
20440475,12/05/19 03:56,-0.17,99.98,-0.18, , , 
20440475,12/05/19 04:56,-0.13,99.98,-0.14, , , 
20440475,12/05/19 05:56,-0.13,99.98,-0.14, , , 
20440475,12/05/19 06:56,-0.17,99.98,-0.18, , , 
20440475,12/05/19 07:56,-0.17,99.98,-0.18, , , 
20440475,12/05/19 08:56,-0.17,99.98,-0.18, , , 
20440475,12/05/19 09:56,-0.17,99.98,-0.18, , , 
20440475,12/05/19 10:56,-0.13,99.98,-0.14, , , 
20440475,12/05/19 11:56,-0.22,99.98,-0.23, , , 
20440475,12/05/19 12:56,-0.17,99.98,-0.18, , , 
20440475,12/05/19 13:56,-0.17,99.98,-0.18, , , 
20440475,12/05/19 14:56,-0.13,99.98,-0.14, , , 
20440475,12/05/19 15:56,-0.17,99.98,-0.18, , , 
20440475,12/05/19 16:56,-0.13,99.98,-0.14, , , 
20440475,12/05/19 17:56,-0.17,99.98,-0.18, , , 
20440475,12/05/19 18:56,-0.13,99.98,-0.14, , , 
20440475,12/05/19 19:56,-0.13,99.98,-0.14, , , 
20440475,12/05/19 20:56,-0.13,99.98,-0.14, , , 
20440475,12/05/19 21:56,-0.17,99.98,-0.18, , , 
20440475,12/05/19 22:56,-0.22,99.98,-0.23, , , 
20440475,12/05/19 23:56,-0.13,99.98,-0.14, , , 
20440475,13/05/19 00:56,-0.17,99.98,-0.18, , , 
20440475,13/05/19 01:56,-0.17,99.98,-0.18, , , 
20440475,13/05/19 02:56,-0.22,99.98,-0.23, , , 
20440475,13/05/19 03:56,-0.17,99.98,-0.18, , , 
20440475,13/05/19 04:56,-0.17,99.98,-0.18, , , 
20440475,13/05/19 05:56,-0.17,99.98,-0.18, , , 
20440475,13/05/19 06:56,-0.22,99.98,-0.23, , , 
20440475,13/05/19 07:56,-0.22,99.98,-0.23, , , 
20440475,13/05/19 08:56,-0.17,99.98,-0.18, , , 
20440475,13/05/19 09:56,-0.22,99.98,-0.23, , , 
20440475,13/05/19 10:56,-0.22,99.98,-0.23, , , 
20440475,13/05/19 11:56,-0.22,99.98,-0.23, , , 
20440475,13/05/19 12:56,-0.17,99.98,-0.18, , , 
20440475,13/05/19 13:56,-0.22,99.98,-0.23, , , 
20440475,13/05/19 14:56,-0.22,99.98,-0.23, , , 
20440475,13/05/19 15:56,-0.17,99.98,-0.18, , , 
20440475,13/05/19 16:56,-0.13,99.98,-0.14, , , 
20440475,13/05/19 17:56,-0.17,99.98,-0.18, , , 
20440475,13/05/19 18:56,-0.17,99.98,-0.18, , , 
20440475,13/05/19 19:56,-0.13,99.98,-0.14, , , 
20440475,13/05/19 20:56,-0.22,99.98,-0.23, , , 
20440475,13/05/19 21:56,-0.22,99.98,-0.23, , , 
20440475,13/05/19 22:56,-0.22,99.98,-0.23, , , 
20440475,13/05/19 23:56,-0.22,99.98,-0.23, , , 
20440475,14/05/19 00:56,-0.22,99.98,-0.23, , , 
20440475,14/05/19 01:56,-0.17,99.98,-0.18, , , 
20440475,14/05/19 02:56,-0.26,99.98,-0.27, , , 
20440475,14/05/19 03:56,-0.3,99.98,-0.31, , , 
20440475,14/05/19 04:56,-0.3,99.98,-0.31, , , 
20440475,14/05/19 05:56,-0.3,99.98,-0.31, , , 
20440475,14/05/19 06:56,-0.35,99.98,-0.35, , , 
20440475,14/05/19 07:56,-0.35,99.98,-0.35, , , 
20440475,14/05/19 08:56,-0.43,99.98,-0.44, , , 
20440475,14/05/19 09:56,-0.43,99.98,-0.44, , , 
20440475,14/05/19 10:56,-0.47,99.98,-0.48, , , 
20440475,14/05/19 11:56,-0.39,99.98,-0.4, , , 
20440475,14/05/19 12:56,-0.43,99.98,-0.44, , , 
20440475,14/05/19 13:56,-0.43,99.98,-0.44, , , 
20440475,14/05/19 14:56,-0.43,99.98,-0.44, , , 
20440475,14/05/19 15:56,-0.43,99.98,-0.44, , , 
20440475,14/05/19 16:56,-0.43,99.98,-0.44, , , 
20440475,14/05/19 17:56,-0.43,99.98,-0.44, , , 
20440475,14/05/19 18:56,-0.47,99.98,-0.48, , , 
20440475,14/05/19 19:56,-0.52,99.98,-0.53, , , 
20440475,14/05/19 20:56,-0.52,99.98,-0.53, , , 
20440475,14/05/19 21:56,-0.47,99.98,-0.48, , , 
20440475,14/05/19 22:56,-0.56,99.98,-0.57, , , 
20440475,14/05/19 23:56,-0.56,99.98,-0.57, , , 
20440475,15/05/19 00:56,-0.6,99.98,-0.61, , , 
20440475,15/05/19 01:56,-0.65,99.98,-0.65, , , 
20440475,15/05/19 02:56,-0.56,99.98,-0.57, , , 
20440475,15/05/19 03:56,-0.47,99.98,-0.48, , , 
20440475,15/05/19 04:56,-0.47,99.98,-0.48, , , 
20440475,15/05/19 05:56,-0.39,99.98,-0.4, , , 
20440475,15/05/19 06:56,-0.39,99.98,-0.4, , , 
20440475,15/05/19 07:56,-0.39,99.98,-0.4, , , 
20440475,15/05/19 08:56,-0.43,99.98,-0.44, , , 
20440475,15/05/19 09:56,-0.39,99.98,-0.4, , , 
20440475,15/05/19 10:56,-0.35,99.98,-0.35, , , 
20440475,15/05/19 11:56,-0.35,99.98,-0.35, , , 
20440475,15/05/19 12:56,-0.39,99.98,-0.4, , , 
20440475,15/05/19 13:56,-0.39,99.98,-0.4, , , 
20440475,15/05/19 14:56,-0.35,99.98,-0.35, , , 
20440475,15/05/19 15:56,-0.35,99.98,-0.35, , , 
20440475,15/05/19 16:56,-0.3,99.98,-0.31, , , 
20440475,15/05/19 17:56,-0.3,99.98,-0.31, , , 
20440475,15/05/19 18:56,-0.3,99.98,-0.31, , , 
20440475,15/05/19 19:56,-0.3,99.98,-0.31, , , 
20440475,15/05/19 20:56,-0.3,99.98,-0.31, , , 
20440475,15/05/19 21:56,-0.35,99.98,-0.35, , , 
20440475,15/05/19 22:56,-0.26,99.98,-0.27, , , 
20440475,15/05/19 23:56,-0.3,99.98,-0.31, , , 
20440475,16/05/19 00:56,-0.26,99.98,-0.27, , , 
20440475,16/05/19 01:56,-0.26,99.98,-0.27, , , 
20440475,16/05/19 02:56,-0.3,99.98,-0.31, , , 
20440475,16/05/19 03:56,-0.26,99.98,-0.27, , , 
20440475,16/05/19 04:56,-0.3,99.98,-0.31, , , 
20440475,16/05/19 05:56,-0.3,99.98,-0.31, , , 
20440475,16/05/19 06:56,-0.3,99.98,-0.31, , , 
20440475,16/05/19 07:56,-0.26,99.98,-0.27, , , 
20440475,16/05/19 08:56,-0.3,99.98,-0.31, , , 
20440475,16/05/19 09:56,-0.26,99.98,-0.27, , , 
20440475,16/05/19 10:56,-0.3,99.98,-0.31, , , 
20440475,16/05/19 11:56,-0.26,99.98,-0.27, , , 
20440475,16/05/19 12:56,-0.26,99.98,-0.27, , , 
20440475,16/05/19 13:56,-0.26,99.98,-0.27, , , 
20440475,16/05/19 14:56,-0.26,99.98,-0.27, , , 
20440475,16/05/19 15:56,-0.26,99.98,-0.27, , , 
20440475,16/05/19 16:56,-0.22,99.98,-0.23, , , 
20440475,16/05/19 17:56,-0.22,99.98,-0.23, , , 
20440475,16/05/19 18:56,-0.22,99.98,-0.23, , , 
20440475,16/05/19 19:56,-0.17,99.98,-0.18, , , 
20440475,16/05/19 20:56,-0.17,99.98,-0.18, , , 
20440475,16/05/19 21:56,-0.22,99.98,-0.23, , , 
20440475,16/05/19 22:56,-0.22,99.98,-0.23, , , 
20440475,16/05/19 23:56,-0.22,99.98,-0.23, , , 
20440475,17/05/19 00:56,-0.26,99.98,-0.27, , , 
20440475,17/05/19 01:56,-0.22,99.98,-0.23, , , 
20440475,17/05/19 02:56,-0.22,99.98,-0.23, , , 
20440475,17/05/19 03:56,-0.22,99.98,-0.23, , , 
20440475,17/05/19 04:56,-0.22,99.98,-0.23, , , 
